sample_name,sector,sector_colour,site,SiteCharacteristic,ST,Number,Location,,,sample,SiteCharacteristic
A56,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,57,13,RPH Pulogadung,,,,
A6,Animal,#9900ff,RPH Pulogadung,04_Slaughtherhouse,6854,13,RPH Pulogadung,,,,
E131,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,117,13,RPH Pulogadung,,,,
E148,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,3856,13,RPH Pulogadung,,,,
E162,Environment,#339900,RPHU Rawa Kepiting,04_Slaughtherhouse,7176,12,RPHU Rawa Kepiting,,,,
E163,Environment,#339900,RPHU Rawa Kepiting,04_Slaughtherhouse,3998,12,RPHU Rawa Kepiting,,,,
E179,Environment,#339900,RPHU Rawa Kepiting,04_Slaughtherhouse,1426,12,RPHU Rawa Kepiting,,,,
E180,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,4663,13,RPH Pulogadung,,,,
E70,Environment,#339900,RPHU Rawa Kepiting,04_Slaughtherhouse,10338,12,RPHU Rawa Kepiting,,,,
E71,Environment,#339900,RPHU Rawa Kepiting,04_Slaughtherhouse,48,12,RPHU Rawa Kepiting,,,,
E72,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,1285,13,RPH Pulogadung,,,,
E73,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,6707,13,RPH Pulogadung,,,,
E74,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,155,13,RPH Pulogadung,,,,
E75,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,-,13,RPH Pulogadung,,,,
E76,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,196,13,RPH Pulogadung,,,,
E91,Environment,#339900,RPHU Rawa Kepiting,04_Slaughtherhouse,156,12,RPHU Rawa Kepiting,,,,
E92,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,58,13,RPH Pulogadung,,,,
E93,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,410,13,RPH Pulogadung,,,,
E94,Environment,#339900,RPH Pulogadung,04_Slaughtherhouse,1011,13,RPH Pulogadung,,,,
E100,Environment,#339900,Kali Molek,05_Upstream,10,4,Kali Molek,,,,
E116,Environment,#339900,Kali Molek,05_Upstream,212,4,Kali Molek,,,,
E117,Environment,#339900,Kranggan,05_Upstream,38,6,Kranggan,,,,
E118,Environment,#339900,Kranggan,05_Upstream,167,6,Kranggan,,,,
E119,Environment,#339900,Kranggan,05_Upstream,10,6,Kranggan,,,,
E120,Environment,#339900,Kranggan,05_Upstream,10,6,Kranggan,,,,
E136,Environment,#339900,Kali Molek,05_Upstream,38,4,Kali Molek,,,,
E137,Environment,#339900,Kali Molek,05_Upstream,1201,4,Kali Molek,,,,
E139,Environment,#339900,Kranggan,05_Upstream,410,6,Kranggan,,,,
E140,Environment,#339900,Kranggan,05_Upstream,-,6,Kranggan,,,,
E141,Environment,#339900,Kranggan,05_Upstream,43,6,Kranggan,,,,
E151,Environment,#339900,Kali Molek,05_Upstream,1201,4,Kali Molek,,,,
E152,Environment,#339900,Kali Molek,05_Upstream,58,4,Kali Molek,,,,
E153,Environment,#339900,Kali Molek,05_Upstream,38,4,Kali Molek,,,,
E154,Environment,#339900,Kali Molek,05_Upstream,6707,4,Kali Molek,,,,
E155,Environment,#339900,Kali Molek,05_Upstream,1201,4,Kali Molek,,,,
E156,Environment,#339900,Kranggan,05_Upstream,10,6,Kranggan,,,,
E157,Environment,#339900,Kranggan,05_Upstream,11146,6,Kranggan,,,,
E169,Environment,#339900,Kali Molek,05_Upstream,191,4,Kali Molek,,,,
