sample_name,sector,sector_colour,site,SiteCharacteristic,ST
H204,Human,#336699,2.RSCM,01_Hospital,
H205,Human,#336699,2.RSCM,01_Hospital,127
H206,Human,#336699,2.RSCM,01_Hospital,131
H207,Human,#336699,2.RSCM,01_Hospital,131
H208,Human,#336699,1.PKM Jatinegara,02_Community,
H209,Human,#336699,1.PKM Jatinegara,02_Community,2179
H210,Human,#336699,1.PKM Jatinegara,02_Community,2179
H241_S1,Human,#336699,2.RSCM,01_Hospital,131
H243_S3,Human,#336699,2.RSCM,01_Hospital,10
H244_S4,Human,#336699,2.RSCM,01_Hospital,131
H246_S6,Human,#336699,2.RSCM,01_Hospital,127
H247_S7,Human,#336699,2.RSCM,01_Hospital,
H248_S8,Human,#336699,2.RSCM,01_Hospital,405
H250_S9,Human,#336699,2.RSCM,01_Hospital,131
H252_S11,Human,#336699,2.RSCM,01_Hospital,69
H253_S12,Human,#336699,2.RSCM,01_Hospital,117
H254_S13,Human,#336699,2.RSCM,01_Hospital,131
H256_S14,Human,#336699,2.RSCM,01_Hospital,1193
H258_S15,Human,#336699,2.RSCM,01_Hospital,7401
H260_S17,Human,#336699,2.RSCM,01_Hospital,405
H261_S18,Human,#336699,2.RSCM,01_Hospital,405
H262_S19,Human,#336699,2.RSCM,01_Hospital,767
H265_S20,Human,#336699,2.RSCM,01_Hospital,1193
H266_S21,Human,#336699,2.RSCM,01_Hospital,12
H268_S23,Human,#336699,2.RSCM,01_Hospital,683
H270_S24,Human,#336699,2.RSCM,01_Hospital,131
H276_S22,Human,#336699,2.RSCM,01_Hospital,-
Reference,E.coli_ref,#FF8360,Isolate,Reference,
