"","sample_name","sector","sector_colour","site","SiteCharacteristic","ST","Number","Location","S","E","Latitude","Longitude"
"134","E127","Environment","#339900","Cilincing","07_Downstream","10",10,"Cilincing","S 06'06'55.4""","E 106'56'26.0",-6.11538888888889,106.940555555556
"135","E128","Environment","#339900","BKT","07_Downstream","410",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"136","E129","Environment","#339900","BKT","07_Downstream","410",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"137","E130","Environment","#339900","BKT","07_Downstream","127",11,"BKT","S 06'06'38.1""","E 106'58'08.8",-6.11058333333333,106.969111111111
"138","E131","Environment","#339900","RPH Pulogadung","04_Slaughtherhouse","117",13,"RPH Pulogadung","S 06'11'06.1""","E 106'54'16.1",-6.18502777777778,106.904472222222
"139","E132","Environment","#339900","Pasar Deprok","03_Market","191",14,"Pasar Deprok","S 06'13'02.4""","E 106'53'41.5",-6.21733333333333,106.894861111111
"140","E133","Environment","#339900","Pasar Ciplak","03_Market","10",15,"Pasar Ciplak","S 06'14'09.8""","E 106'52'52.7",-6.23605555555556,106.881305555556
"141","E134","Environment","#339900","Inlet Persahabatan","08_Hospital wastewater inlet","405",16,"Inlet Persahabatan",NA,NA,-6.20229236018289,106.884989556476
"142","E135","Environment","#339900","Inlet Persahabatan","08_Hospital wastewater inlet","410",16,"Inlet Persahabatan",NA,NA,-6.20229236018289,106.884989556476
"143","E136","Environment","#339900","Kali Molek","05_Upstream","38",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"144","E137","Environment","#339900","Kali Molek","05_Upstream","1201",4,"Kali Molek","S 06'17'04.0""","E 106'54'31.4",-6.28444444444444,106.908722222222
"145","E138","Environment","#339900","Kali Sunter","06_Midstream","-",5,"Kali Sunter","S 06'19'04.0""","E 106'55'17.2",-6.31777777777778,106.921444444444
"146","E139","Environment","#339900","Kranggan","05_Upstream","410",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"147","E140","Environment","#339900","Kranggan","05_Upstream","-",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"148","E141","Environment","#339900","Kranggan","05_Upstream","43",6,"Kranggan","S 06'21'56.5""","E 106'54'51.2",-6.36569444444444,106.914222222222
"149","E142","Environment","#339900","Pasar Pondok Bambu","03_Market","2313",7,"Pasar Pondok Bambu","S 06'14'17.9""","E 106'54'08.9",-6.23830555555556,106.902472222222
"150","E143","Environment","#339900","Kali Sindang","07_Downstream","73",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"151","E144","Environment","#339900","Kali Sindang","07_Downstream","410",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"152","E145","Environment","#339900","Kali Sindang","07_Downstream","117",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
"153","E146","Environment","#339900","Kali Sindang","07_Downstream","533",9,"Kali Sindang","S 06'06'48.3""","E 106'53'48.7",-6.11341666666667,106.896861111111
